"Gene name","Mean gene expression level (TPM)","Minimum log2 fold change","Ensembl ID"
"SLC4A10","33.34","3.6","ENSG00000144290"
"KIT","9.52","2.3","ENSG00000157404"
"LL22NC03-75H12.2","30.17","1.8","ENSG00000218357"
"IL23R","4.77","1.6","ENSG00000162594"
"TPBG","2.93","1.6","ENSG00000146242"
"SLC44A3","3.03","1.5","ENSG00000143036"
"RBM24","2.83","1.5","ENSG00000112183"
"ADAM23","66.13","1.4","ENSG00000114948"
"AC010731.2","22.82","1.4","ENSG00000228577"
"RNU7-189P","8.23","1.3","ENSG00000238831"
"PDE4D","551.98","1.3","ENSG00000113448"
"SLC17A1","3.60","1.3","ENSG00000124568"
"DPP4","263.49","1.3","ENSG00000197635"
"CYP46A1","3.00","1.2","ENSG00000036530"
"NTN4","17.38","1.1","ENSG00000074527"
"SLC17A3","7.65","1.1","ENSG00000124564"
"AL357060.1","3.78","1","ENSG00000216097"
"HMGA1P6","0.02","1","ENSG00000233440"
"TATDN2P3","0.00","1","ENSG00000235205"
"SDAD1P4","0.00","1","ENSG00000236803"
"SACS-AS1","0.00","1","ENSG00000229558"
"HNRNPA1P29","0.00","1","ENSG00000235784"
"GPC6-AS2","0.00","1","ENSG00000224394"
"RNA5SP35","0.00","1","ENSG00000212559"
"LINC00327","0.02","1","ENSG00000232977"
"GPC6-AS1","0.00","1","ENSG00000236520"
"LINC00352","0.00","1","ENSG00000227893"
"AL139318.1","0.00","1","ENSG00000212057"
"RNA5SP36","0.00","1","ENSG00000222129"
"MTCO3P2","0.17","1","ENSG00000232102"
"RN7SL585P","0.00","1","ENSG00000242037"
"LINC00391","0.00","1","ENSG00000238230"
"SOX21-AS1","0.00","1","ENSG00000227640"
"C1QTNF9B-AS1","0.01","1","ENSG00000205861"
"BRD7P5","0.06","1","ENSG00000235768"
"RPL21P112","0.06","1","ENSG00000237924"
"LINC00557","0.01","1","ENSG00000260962"
"RNU6-62P","0.50","1","ENSG00000252335"
"snoU13_ENSG00000238463","0.05","1","ENSG00000238463"
"ANKRD20A19P","0.00","1","ENSG00000196593"
"RNY4P27","0.00","1","ENSG00000200211"
"MEMO1P5","0.00","1","ENSG00000271492"
"CLDN10-AS1","0.00","1","ENSG00000223392"
"RP11-309I15.1","0.01","1","ENSG00000228741"
"IPO7P2","0.16","1","ENSG00000225674"
"MTND5P2","0.18","1","ENSG00000229622"
"MIR2276","0.00","1","ENSG00000252695"
"MTND6P18","0.26","1","ENSG00000227714"
"C1QTNF9-AS1","0.05","1","ENSG00000240868"
"MTCYBP3","0.31","1","ENSG00000232373"
"NUS1P3","0.02","1","ENSG00000234627"
"snR65_ENSG00000251901","0.28","1","ENSG00000251901"
"LINC00566","0.00","1","ENSG00000261498"
"HMGN1P24","0.00","1","ENSG00000226977"
"CYCSP33","0.07","1","ENSG00000233545"
"AMMECR1LP1","0.00","1","ENSG00000233273"
"TPTE2P6","0.00","1","ENSG00000205822"
"HSP90AB6P","0.01","1","ENSG00000235137"
"LINC00359","0.00","1","ENSG00000243300"
"AL359538.2","0.00","1","ENSG00000266216"
"PSPC1P2","0.00","1","ENSG00000244615"
"RP11-556N21.1","0.00","1","ENSG00000243008"
"RP11-65L19.4","0.00","1","ENSG00000272329"
"AL359538.1","0.00","1","ENSG00000211508"
"RPL26P34","0.00","1","ENSG00000225404"
"PSMA6P4","0.00","1","ENSG00000271625"
"ANKRD20A10P","0.00","1","ENSG00000226695"
"RPL7AP61","0.00","1","ENSG00000233291"
"RP11-383H17.4","0.00","1","ENSG00000270725"
"TPTE2P1","0.01","1","ENSG00000253771"
"FTLP8","0.20","1","ENSG00000232217"
"RN7SKP8","0.00","1","ENSG00000222969"
"RP11-573N10.1","0.00","1","ENSG00000269189"
"SLC25A15P3","0.01","1","ENSG00000251299"
"RP11-295B17.6","0.42","1","ENSG00000271437"
"STK24-AS1","0.15","1","ENSG00000224418"
"NUS1P4","0.01","1","ENSG00000217686"
"AMER2-AS1","0.00","1","ENSG00000234056"
"LINC01053","0.00","1","ENSG00000238169"
"CALM2P4","0.05","1","ENSG00000233662"
"LINC01076","0.02","1","ENSG00000225105"
"RN7SL60P","0.00","1","ENSG00000243366"
"DOCK9-AS1","0.21","1","ENSG00000229918"
"RP11-271M24.2","0.07","1","ENSG00000260509"
"RPL7L1P12","0.13","1","ENSG00000231981"
"TCEB2P1","0.02","1","ENSG00000234152"
"RN7SL289P","0.01","1","ENSG00000265546"
"RNU6-83P","0.37","1","ENSG00000207298"
"RP11-467D10.2","0.00","1","ENSG00000180803"
"RPS6P23","0.00","1","ENSG00000230871"
"RN7SL741P","0.00","1","ENSG00000242381"
"RNY1P3","0.00","1","ENSG00000223158"
"LINC00415","0.00","1","ENSG00000231983"
"ATP8A2P3","0.02","1","ENSG00000233963"
"RN7SKP9","0.38","1","ENSG00000201793"
"PRUNEP1","0.00","1","ENSG00000234706"
"RP11-380N8.6","0.00","1","ENSG00000271559"
"PRKRIRP6","0.00","1","ENSG00000227882"
"AL583784.1","0.14","1","ENSG00000266207"
"LINC00449","0.29","1","ENSG00000203441"
